類別：所有類別,,,
,,,
週,voice analysis,music analysis,image analysis
2015/10/18,25,55,70
2015/10/25,22,48,69
2015/11/1,9,62,74
2015/11/8,11,73,70
2015/11/15,21,77,86
2015/11/22,16,56,76
2015/11/29,21,63,66
2015/12/6,24,61,88
2015/12/13,15,61,62
2015/12/20,11,25,38
2015/12/27,11,28,38
2016/1/3,17,47,56
2016/1/10,17,40,77
2016/1/17,18,39,79
2016/1/24,25,36,63
2016/1/31,26,65,72
2016/2/7,21,55,75
2016/2/14,14,51,86
2016/2/21,24,54,77
2016/2/28,19,49,69
2016/3/6,23,53,77
2016/3/13,16,49,80
2016/3/20,14,39,72
2016/3/27,18,34,66
2016/4/3,16,55,66
2016/4/10,25,60,75
2016/4/17,24,63,65
2016/4/24,29,78,80
2016/5/1,19,52,73
2016/5/8,17,52,69
2016/5/15,17,46,64
2016/5/22,30,46,55
2016/5/29,18,45,77
2016/6/5,14,28,51
2016/6/12,12,25,58
2016/6/19,13,25,63
2016/6/26,13,30,47
2016/7/3,11,28,50
2016/7/10,11,22,50
2016/7/17,12,31,52
2016/7/24,16,27,51
2016/7/31,18,27,52
2016/8/7,13,31,69
2016/8/14,12,34,48
2016/8/21,13,27,65
2016/8/28,25,33,62
2016/9/4,23,45,56
2016/9/11,23,52,58
2016/9/18,19,67,76
2016/9/25,16,50,60
2016/10/2,19,51,66
2016/10/9,18,52,79
2016/10/16,16,48,85
2016/10/23,16,43,83
2016/10/30,18,55,76
2016/11/6,25,61,85
2016/11/13,18,55,80
2016/11/20,17,45,77
2016/11/27,18,55,66
2016/12/4,24,62,78
2016/12/11,13,54,73
2016/12/18,12,26,52
2016/12/25,10,22,39
2017/1/1,18,38,57
2017/1/8,21,42,65
2017/1/15,23,35,62
2017/1/22,26,43,72
2017/1/29,17,53,86
2017/2/5,25,50,77
2017/2/12,15,55,87
2017/2/19,20,49,100
2017/2/26,27,59,70
2017/3/5,23,66,72
2017/3/12,27,53,77
2017/3/19,19,64,76
2017/3/26,14,52,94
2017/4/2,26,53,79
2017/4/9,14,49,73
2017/4/16,12,59,63
2017/4/23,19,80,72
2017/4/30,17,69,83
2017/5/7,22,58,72
2017/5/14,15,47,64
2017/5/21,15,46,61
2017/5/28,15,30,58
2017/6/4,12,34,54
2017/6/11,9,33,61
2017/6/18,11,23,55
2017/6/25,9,21,57
2017/7/2,10,25,57
2017/7/9,17,23,59
2017/7/16,12,28,61
2017/7/23,16,26,59
2017/7/30,17,34,48
2017/8/6,13,30,52
2017/8/13,18,35,55
2017/8/20,16,26,55
2017/8/27,13,32,55
2017/9/3,19,36,65
2017/9/10,28,45,66
2017/9/17,15,43,58
2017/9/24,12,54,53
2017/10/1,18,41,65
2017/10/8,17,44,78
2017/10/15,9,57,66
2017/10/22,30,44,70
2017/10/29,22,62,78
2017/11/5,19,64,62
2017/11/12,24,66,91
2017/11/19,16,45,75
2017/11/26,24,60,61
2017/12/3,15,67,90
2017/12/10,24,55,80
2017/12/17,16,40,40
2017/12/24,19,22,40
2017/12/31,17,25,50
2018/1/7,12,36,59
2018/1/14,18,38,62
2018/1/21,8,45,64
2018/1/28,23,37,64
2018/2/4,20,47,70
2018/2/11,17,39,55
2018/2/18,14,47,70
2018/2/25,17,61,71
2018/3/4,20,51,65
2018/3/11,19,53,76
2018/3/18,14,48,68
2018/3/25,18,56,59
2018/4/1,22,42,64
2018/4/8,14,54,63
2018/4/15,22,53,75
2018/4/22,18,60,72
2018/4/29,27,63,63
2018/5/6,11,55,79
2018/5/13,19,46,61
2018/5/20,15,38,74
2018/5/27,15,43,59
2018/6/3,15,35,64
2018/6/10,16,34,56
2018/6/17,14,27,61
2018/6/24,14,30,45
2018/7/1,8,27,53
2018/7/8,13,30,58
2018/7/15,16,27,53
2018/7/22,13,28,56
2018/7/29,18,27,52
2018/8/5,9,30,58
2018/8/12,14,27,52
2018/8/19,13,20,61
2018/8/26,14,34,57
2018/9/2,14,42,65
2018/9/9,12,38,59
2018/9/16,21,40,66
2018/9/23,18,44,71
2018/9/30,23,38,63
2018/10/7,15,45,65
2018/10/14,18,40,63
2018/10/21,16,52,59
2018/10/28,24,49,67
2018/11/4,18,49,55
2018/11/11,18,57,68
2018/11/18,17,39,53
2018/11/25,19,61,69
2018/12/2,17,48,67
2018/12/9,19,52,61
2018/12/16,11,33,39
2018/12/23,7,19,33
2018/12/30,13,23,43
2019/1/6,14,38,46
2019/1/13,14,38,54
2019/1/20,15,35,64
2019/1/27,20,47,67
2019/2/3,15,57,57
2019/2/10,14,44,64
2019/2/17,16,48,55
2019/2/24,12,39,51
2019/3/3,20,41,51
2019/3/10,8,54,65
2019/3/17,27,56,74
2019/3/24,16,44,56
2019/3/31,13,48,65
2019/4/7,18,32,61
2019/4/14,18,30,67
2019/4/21,11,30,56
2019/4/28,26,51,57
2019/5/5,11,42,56
2019/5/12,16,37,58
2019/5/19,17,33,55
2019/5/26,14,37,49
2019/6/2,17,37,52
2019/6/9,15,28,62
2019/6/16,15,31,55
2019/6/23,8,21,48
2019/6/30,9,24,40
2019/7/7,16,34,41
2019/7/14,15,29,50
2019/7/21,11,25,39
2019/7/28,14,29,38
2019/8/4,9,28,45
2019/8/11,14,24,50
2019/8/18,19,19,59
2019/8/25,18,28,53
2019/9/1,11,29,43
2019/9/8,25,41,77
2019/9/15,13,36,56
2019/9/22,17,39,68
2019/9/29,18,43,62
2019/10/6,11,47,56
2019/10/13,20,52,70
2019/10/20,13,34,52
2019/10/27,10,34,50
2019/11/3,12,38,76
2019/11/10,16,47,58
2019/11/17,14,55,68
2019/11/24,19,31,50
2019/12/1,12,45,65
2019/12/8,17,45,64
2019/12/15,18,33,56
2019/12/22,8,12,36
2019/12/29,8,21,29
2020/1/5,13,29,53
2020/1/12,18,34,50
2020/1/19,13,38,54
2020/1/26,14,35,56
2020/2/2,16,47,75
2020/2/9,18,35,52
2020/2/16,13,50,62
2020/2/23,20,48,57
2020/3/1,19,46,60
2020/3/8,14,44,68
2020/3/15,9,39,43
2020/3/22,16,37,48
2020/3/29,17,31,57
2020/4/5,16,46,52
2020/4/12,21,43,45
2020/4/19,18,49,68
2020/4/26,25,48,55
2020/5/3,25,48,67
2020/5/10,20,46,58
2020/5/17,15,46,62
2020/5/24,15,33,51
2020/5/31,18,32,51
2020/6/7,16,33,57
2020/6/14,15,28,51
2020/6/21,16,26,51
2020/6/28,13,28,54
2020/7/5,11,26,52
2020/7/12,10,24,53
2020/7/19,13,25,60
2020/7/26,12,24,39
2020/8/2,12,28,41
2020/8/9,13,29,41
2020/8/16,17,30,54
2020/8/23,18,33,55
2020/8/30,21,39,66
2020/9/6,18,34,56
2020/9/13,15,44,59
2020/9/20,17,52,76
2020/9/27,18,43,56
2020/10/4,13,54,55
2020/10/11,22,43,63
